symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status,latest_date,latest_close,history_rows,avg_volume_50d,avg_traded_value_50d,liquidity_pass,risk_tier,liquidity_reason
ANDHRSUGAR,Andhra Sugars,136,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,87.74,1238,536143,47114983,True,HIGH,PASS
ANNAPURNA,Annapurna Swadisht,11198,NSE_EQ,EQUITY,ES,SM,250,,ACTIVE,2026-05-18,140.9,900,101735,16728424,True,HIGH,PASS
ANTELOPUS,Antelopus Selan Energy,13598,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,779.6,1238,322199,197597026,True,MEDIUM,PASS
APCOTEXIND,Apcotex Industries,154,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,483.2,1238,85717,39516313,True,HIGH,PASS
APEX,Apex Frozen Foods,21623,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,429.6,1238,903867,391282783,True,MEDIUM,PASS
APLLTD,Alembic Pharmaceuticals,25328,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,724.4,1238,127143,93324171,True,HIGH,PASS
APOLLO,Apollo Micro Systems,1134,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,311.0,1238,11080334,2880932466,True,LOW,PASS
APOLLOPIPE,Apollo Pipes,14361,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,508.35,1238,2451613,1020447708,True,LOW,PASS
APTECHT,Aptech,10755,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,97.73,1238,340749,31974297,True,HIGH,PASS
AQYLON,Aqylon Nexus,23365,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,56.52,932,2082720,106927868,True,MEDIUM,PASS
ARFIN,Arfin,758700,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,88.31,202,1734296,155873725,True,MEDIUM,PASS
ARIHANTCAP,Arihant Capital Markets,3813,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,68.23,1220,291343,20364369,True,HIGH,PASS
ARIHANTSUP,Arihant Superstructures,20159,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,258.5,1239,229429,58884673,True,HIGH,PASS
ARIS,Arisinfra Solutions,757614,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,126.37,220,1316576,162638956,True,MEDIUM,PASS
ARKADE,Arkade Developers,25398,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,113.56,406,499473,55644338,True,HIGH,PASS
ARMANFIN,Arman Financial Services,17263,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1719.8,1238,52339,82638722,True,HIGH,PASS
ARROWGREEN,Arrow Greentech,9260,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,474.3,1238,89725,43032484,True,HIGH,PASS
ARSSBL,Anand Rathi Share & Stock Brokers,759956,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,519.65,154,593834,325685792,True,MEDIUM,PASS
ARTEMISMED,Artemis Medicare Services,16913,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,272.46,1238,187395,45590505,True,HIGH,PASS
ARVIND,Arvind,193,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,472.6,1238,796344,333641739,True,MEDIUM,PASS
ARVINDFASN,Arvind Fashions,9111,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,429.0,1238,401937,180388475,True,MEDIUM,PASS
