symbol,company_name,industry,security_id,exchange_segment,instrument,status
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,1008,NSE_EQ,EQUITY,ACTIVE
FEDERALBNK,Federal Bank Ltd.,Financial Services,1023,NSE_EQ,EQUITY,ACTIVE
FINCABLES,Finolex Cables Ltd.,Capital Goods,1038,NSE_EQ,EQUITY,ACTIVE
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,24814,NSE_EQ,EQUITY,ACTIVE
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,12032,NSE_EQ,EQUITY,ACTIVE
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,13750,NSE_EQ,EQUITY,ACTIVE
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,11573,NSE_EQ,EQUITY,ACTIVE
FORTIS,Fortis Healthcare Ltd.,Healthcare,14592,NSE_EQ,EQUITY,ACTIVE
FSL,Firstsource Solutions Ltd.,Services,14304,NSE_EQ,EQUITY,ACTIVE
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,1085,NSE_EQ,EQUITY,ACTIVE
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,4717,NSE_EQ,EQUITY,ACTIVE
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,13337,NSE_EQ,EQUITY,ACTIVE
GESHIP,Great Eastern Shipping Co. Ltd.,Services,13776,NSE_EQ,EQUITY,ACTIVE
GICRE,General Insurance Corporation of India,Financial Services,277,NSE_EQ,EQUITY,ACTIVE
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,1576,NSE_EQ,EQUITY,ACTIVE
GLAND,Gland Pharma Ltd.,Healthcare,1186,NSE_EQ,EQUITY,ACTIVE
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,1153,NSE_EQ,EQUITY,ACTIVE
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,7406,NSE_EQ,EQUITY,ACTIVE
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,5204,NSE_EQ,EQUITY,ACTIVE
GMRAIRPORT,GMR Airports Ltd.,Services,13528,NSE_EQ,EQUITY,ACTIVE
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,1181,NSE_EQ,EQUITY,ACTIVE
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,23799,NSE_EQ,EQUITY,ACTIVE
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,10099,NSE_EQ,EQUITY,ACTIVE
GODREJIND,Godrej Industries Ltd.,Diversified,10925,NSE_EQ,EQUITY,ACTIVE
GODREJPROP,Godrej Properties Ltd.,Realty,17875,NSE_EQ,EQUITY,ACTIVE
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,13409,NSE_EQ,EQUITY,ACTIVE
GRANULES,Granules India Ltd.,Healthcare,11872,NSE_EQ,EQUITY,ACTIVE
GRAPHITE,Graphite India Ltd.,Capital Goods,592,NSE_EQ,EQUITY,ACTIVE
GRASIM,Grasim Industries Ltd.,Construction Materials,1232,NSE_EQ,EQUITY,ACTIVE
GRAVITA,Gravita India Ltd.,Metals & Mining,20534,NSE_EQ,EQUITY,ACTIVE
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,759806,NSE_EQ,EQUITY,ACTIVE
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,5475,NSE_EQ,EQUITY,ACTIVE
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,16783,NSE_EQ,EQUITY,ACTIVE
HAL,Hindustan Aeronautics Ltd.,Capital Goods,2303,NSE_EQ,EQUITY,ACTIVE
HAVELLS,Havells India Ltd.,Consumer Durables,9819,NSE_EQ,EQUITY,ACTIVE
HBLENGINE,HBL Engineering Ltd.,Capital Goods,13966,NSE_EQ,EQUITY,ACTIVE
HCLTECH,HCL Technologies Ltd.,Information Technology,7229,NSE_EQ,EQUITY,ACTIVE
HDBFS,HDB Financial Services Ltd.,Financial Services,757772,NSE_EQ,EQUITY,ACTIVE
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,4244,NSE_EQ,EQUITY,ACTIVE
HDFCBANK,HDFC Bank Ltd.,Financial Services,1333,NSE_EQ,EQUITY,ACTIVE
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,467,NSE_EQ,EQUITY,ACTIVE
