symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status
DVL,Dhunseri Ventures,15214,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
DWARKESH,Dwarikesh Sugar Industries,11667,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
DYCL,Dynamic Cables,10417,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
DYNAMATECH,Dynamatic Technologies,4525,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
DYNAMIC,Dynamic Services & Security,6079,NSE_EQ,EQUITY,ES,SM,500,,ACTIVE
DYNPRO,Dynemic Products,21314,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
E2E,E2E Networks,8937,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
E2ERAIL,E to E Transportation Infrastructure,760534,NSE_EQ,EQUITY,ES,ST,800,,ACTIVE
EASEMYTRIP,Easy Trip Planners,2792,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EASTSILK,Eastern Silk Industries,9769,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
EBGNG,GNG Electronics,757862,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ECLERX,eClerx Services,15179,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ECOLINE,Ecoline Exim,759961,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
ECOSMOBLTY,ECOS Mobility & Hospitality,25060,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EDELWEISS,Edelweiss Financial Services,15119,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EEPL,Eppeltone Engineers,758346,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
EFACTOR,E-Factor Experiences,19267,NSE_EQ,EQUITY,ES,SM,400,,ACTIVE
EFCIL,EFC,758675,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EFFWA,Effwa Infra & Research,24435,NSE_EQ,EQUITY,ES,SM,400,,ACTIVE
EFORCE,Electro Force,20899,NSE_EQ,EQUITY,ES,SM,1200,,ACTIVE
EICHERMOT,Eicher Motors,910,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EIDPARRY,EID Parry,916,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EIEL,Enviro Infra Engineers,27213,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EIFFL,Euro India Fresh Foods,6040,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EIHAHOTELS,EIH Associated Hotels,15399,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EIHOTEL,EIH Hotels,919,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EIMCOELECO,Eimco Elecon,4040,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EKC,Everest Kanto Cylinder,13091,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELANTAS,Elantas Beck,762653,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELCIDIN,ELCID Investments,762658,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELDEHSG,Eldeco Housing & Industries,8953,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELECON,Elecon Engineering Company,13643,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELECTCAST,Electrosteel Castings,928,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELECTHERM,Electrotherm,4469,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELGIEQUIP,Elgi Equipments,937,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELGIRUBCO,Elgi Rubber Company,24924,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELGNZ,Eleganz Interiors,29595,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
ELIN,Elin Electronics,13423,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELITECON,Elitecon International,762663,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELLEN,Ellenbarrie Industrial Gases,758563,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ELPROINTL,Elpro International,4471,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EMAMILTD,Emami,13517,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EMAMIPAP,Emami Paper Mills,10074,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EMAMIREAL,Emami Realty,19281,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
EMAPARTNER,EMA Partners,29229,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
EMBDL,Embassy Developments,14450,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EMCURE,Emcure Pharmaceuticals,24398,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EMIL,Electronics Mart,11530,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EMKAY,Emkay Global Financial Services,13421,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EMKAYTOOLS,Emkay Tap & Cut. Tool,10253,NSE_EQ,EQUITY,ES,SM,150,,ACTIVE
EMMBI,Emmbi Industries,18142,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EMMIL,Energy Mission Machineries,23745,NSE_EQ,EQUITY,ES,SM,250,,ACTIVE
EMMVEE,Emmvee Photovoltaic Power,759728,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EMPOWER,Empower,762673,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
EMSLIMITED,EMS,18593,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EMUDHRA,eMudhra,9756,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ENCOMPAS,Encompass Design,760321,NSE_EQ,EQUITY,ES,SM,400,,ACTIVE
ENDURANCE,Endurance Technologies,18822,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ENERGYDEV,Energy Development Company,15049,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ENFUSE,Enfuse Solutions,23224,NSE_EQ,EQUITY,ES,SM,600,,ACTIVE
ENGINERSIN,Engineers India,4907,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ENIL,Entertainment Network,13192,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ENRIN,Siemens Energy,756871,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ENSER,Enser Communications,23233,NSE_EQ,EQUITY,ES,ST,5000,,ACTIVE
ENTERO,Entero Healthcare Solutions,22717,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ENVIRO,Envirotech Systems,25412,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
EPACK,Epack Durable,22463,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EPACKPEB,EPack Prefab Technologies,759251,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EPIGRAL,Epigral,5382,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EPL,EPL,981,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EPWINDIA,EPW,761217,NSE_EQ,EQUITY,ES,ST,1200,,ACTIVE
EQUIPPP,Equippp Social Impact Technologies,3553,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
EQUITASBNK,Equitas Small Finance Bank,913,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ERIS,Eris Lifesciences,21154,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ESABINDIA,ESAB India,955,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ESAFSFB,ESAF Small Finance Bank,19878,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ESCONET,Esconet Technologies,22767,NSE_EQ,EQUITY,ES,ST,400,,ACTIVE
ESCORTS,Escorts Kubota,958,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ESFL,Essen Specialty Films,17087,NSE_EQ,EQUITY,ES,ST,360,,ACTIVE
ESPRIT,Esprit Stones,24678,NSE_EQ,EQUITY,ES,SM,1600,,ACTIVE
ESSARSHPNG,Essar Shipping,25634,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ESSENTIA,Integra Essentia,30327,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
ESTER,Ester Industries,24265,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ETERNAL,Eternal,5097,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ETHOSLTD,Ethos,9750,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ETL,Emkay Tools,758591,NSE_EQ,EQUITY,ES,SM,150,,ACTIVE
ETML,Emerald Tyre Manufacturers,27629,NSE_EQ,EQUITY,ES,SM,1200,,ACTIVE
EUREKAFORB,Eureka Forbes,25162,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EUROBOND,Euro Panel Products,757953,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EUROPRATIK,Euro Pratik Sales,759797,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EUROTEXIND,Eurotex Industries & Exports,999,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EVEREADY,Eveready Industries,11782,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EVERESTIND,Everest Industries,993,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EXCELINDUS,Excel Industries,11471,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EXCELLENT,Excellent Wires and Packaging,25327,NSE_EQ,EQUITY,ES,ST,1600,,ACTIVE
EXCELSOFT,Excelsoft Technologies,760007,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EXICOM,Exicom Tele-Systems,22947,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EXIDEIND,Exide Industries,676,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EXIMROUTES,Exim Routes,760422,NSE_EQ,EQUITY,ES,SM,800,,ACTIVE
EXPLEOSOL,Expleo Solutions,17486,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
EXXARO,Exxaro Tiles,5352,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FABTECH,Fabtech Technologies,760125,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FACT,Fertilisers & Chemical Travancore,1008,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FAIRCHEMOR,Fairchem Organics,1614,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FALCONTECH,Falcon Technoprojects,24150,NSE_EQ,EQUITY,ES,SM,1200,,ACTIVE
FAZE3Q,Faze Three,12000,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FCL,Fineotex Chemical,6198,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FCSSOFT,FCS Software Solutions,12002,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
FDC,FDC,4898,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FEDDERSHOL,Fedders Holding,762675,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FEDERALBNK,Federal Bank,1023,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FEDFINA,Fedbank Financial Services,20322,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FEL,Future Enterprises,13812,NSE_EQ,EQUITY,ES,BZ,1,,ACTIVE
FELDVR,Future Enterprises DVR,30491,NSE_EQ,EQUITY,ES,BZ,1,,ACTIVE
FELIX,Felix Industries,573,NSE_EQ,EQUITY,ES,SM,500,,ACTIVE
FERMENTA,Fermenta Biotech,762680,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FIBERWEB,Fiberweb,8159,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FIDEL,Fidel Softech,9858,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
FIEMIND,Fiem Industries,13710,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FILATEX,Filatex India,24532,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FILATFASH,Filatex Fashions,23651,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
FINBUD,Finbud Financial Services,759776,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
FINCABLES,Finolex Cables,1038,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FINEORG,Fine Organic Industries,3744,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FINKURVE,Finkurve Financial Services,759239,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FINOPB,Fino Payments Bank,6579,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FINPIPE,Finolex Industries,1041,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FIRSTCRY,Firstcry (Brainbees Solutions),24814,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FISCHER,Fischer Medical Ventures,757658,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FIVESTAR,Five Star Business Finance,12032,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FLAIR,Flair Writing Industries,20372,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FLEXITUFF,Flexituff Ventures,25512,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FLFL,Future Lifestyle Fashions,14868,NSE_EQ,EQUITY,ES,BZ,1,,ACTIVE
FLUOROCHEM,Gujarat Fluorochemicals,13750,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FLYSBS,FlySBS Aviation,758208,NSE_EQ,EQUITY,ES,SM,200,,ACTIVE
FMGOETZE,Federal Mogul Goetze,1190,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FMNL,Future Market Networks,21017,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FOCE,Foce,7385,NSE_EQ,EQUITY,ES,SM,240,,ACTIVE
FOCUS,Focus Lighting & Fixtures,6836,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FONEBOX,Fonebox Retail,22517,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
FOODSIN,Foods & Inns,6673,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FORCAS,Forcas Studio,24914,NSE_EQ,EQUITY,ES,SM,1600,,ACTIVE
FORCEMOT,Force Motors,11573,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FORGEAUTO,Forge Auto International,25664,NSE_EQ,EQUITY,ES,SM,1200,,ACTIVE
FORTIS,Fortis Healthcare,14592,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FOSECOIND,Foseco,1073,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FRACTAL,Fractal Analytics,760961,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FRESHARA,Freshara Agro Exports,25871,NSE_EQ,EQUITY,ES,ST,600,,ACTIVE
FROG,Frog Innovations,11504,NSE_EQ,EQUITY,ES,ST,400,,ACTIVE
FRONTSP,Frontier Springs,762685,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FSL,Firstsource Solutions,14304,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FUSION,Fusion Finance,11932,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
FWSTC,Flywings Simulator Training Centre,760331,NSE_EQ,EQUITY,ES,SM,600,,ACTIVE
GABRIEL,Gabriel,1085,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GAEL,Gujarat Ambuja Exports,8828,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GAIL,GAIL,4717,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GAJANAND,Gajanand International,25244,NSE_EQ,EQUITY,ES,SM,3000,,ACTIVE
GALAPREC,Gala Precision Engineering,25134,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GALAXYSURF,Galaxy Surfactants,1315,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GALLANTT,Gallantt Ispat,13337,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GANDHAR,Gandhar Oil Refinery,20303,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GANDHITUBE,Gandhi Special Tubes,14116,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GANECOS,Ganesha Ecosphere,6944,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GANESHBE,Ganesh Benzoplast,5614,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GANESHCP,Ganesh Consumer Products,759012,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GANESHHOU,Ganesh Housing,14339,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GANESHIN,Ganesh Infraworld,27351,NSE_EQ,EQUITY,ES,ST,800,,ACTIVE
GANGABATH,Ganga Bath Fittings,757525,NSE_EQ,EQUITY,ES,SM,3000,,ACTIVE
GANGAFORGE,Ganga Forging,4957,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GANGESSECU,Ganges Securities,21399,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GARFIBRES,Garware Technical Fibres,1100,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GARUDA,Garuda Construction & Engineering,25800,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GATECH,GACM Technologies,17888,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GATECHDVR,GACM Technologies DVR,17,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GATEWAY,Gateway Distriparks,8510,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GAUDIUMIVF,Gaudium IVF & Women Health,760179,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
GAYAHWS,Gayatri Highways,3693,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GAYAPROJ,Gayatri Projects,25027,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
GCHOTELS,Grand Continent Hotels,30286,NSE_EQ,EQUITY,ES,SM,600,,ACTIVE
GCSL,Gretex Corporate Services,758986,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GEECEE,GeeCee Ventures,13658,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GEEKAYWIRE,Geekay Wires,17922,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GEMAROMA,Gem Aromatics,759463,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
GENCON,Generic Engineering Construction,2188,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GENESYS,Genesys International Corp,10905,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GENUSPAPER,Genus Paper & Boards,6600,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GENUSPOWER,Genus Power Infrastructures,11905,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GEOJITFSL,Geojit Financial Services,11896,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GESHIP,Great Eastern Shipping Company,13776,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GFLLIMITED,GFL,1289,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GGBL,Ganesh Green Bharat,24439,NSE_EQ,EQUITY,ES,SM,300,,ACTIVE
GHCL,GHCL,1127,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GHCLTEXTIL,GHCL Textiles,16696,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GICHSGFIN,GIC Housing Finance,1139,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GICL,Globe International Carriers,761025,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GICRE,GIC of India,277,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GILLANDERS,Gillanders Arbuthnot,17839,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GILLETTE,Gillette,1576,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GINNIFILA,Ginni Filaments,1142,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GIPCL,Gujarat Industries Power Company,1145,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GIRIRAJ,Giriraj Civil Developers,2366,NSE_EQ,EQUITY,ES,ST,250,,ACTIVE
GJL,Grover Jewells,760971,NSE_EQ,EQUITY,ES,ST,800,,ACTIVE
GKENERGY,GK Energy,759048,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GKSL,Gujarat Kidney and Super Speciality,761197,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GKWLIMITED,GKW,17357,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GLAND,Gland Pharma,1186,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GLAXO,GlaxoSmithKline Pharmaceuticals,1153,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GLENMARK,Glenmark Pharmaceuticals,7406,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GLFL,Gujarat Lease Financing,8412,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
GLOBAL,Global Education,1415,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GLOBALE,Globale Tessile,24934,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
GLOBALPET,Global Pet Industries,17170,NSE_EQ,EQUITY,ES,ST,750,,ACTIVE
GLOBALVECT,Global Vectra Helicorp,13735,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GLOBE,Globe Enterprises,393,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GLOBECIVIL,Globe Civil Projects,758573,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
GLOBUSSPR,Globus Spirits,17424,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GLOSTERLTD,Gloster,23590,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GLOTTIS,Glottis,760116,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GMBREW,GM Breweries,1168,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GMDCLTD,Gujarat Mineral Development Corporation,5204,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GML,Galaxy Medicare,759089,NSE_EQ,EQUITY,ES,SM,2000,,ACTIVE
GMMPFAUDLR,GMM Pfaudler,1570,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GMRAIRPORT,GMR Airports,13528,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GMRP&UI,GMR Power & Urban Infra,8529,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GNA,GNA Axles,18571,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GNFC,Gujarat Narmada Valley Fert & Chem,1174,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GNRL,Gujarat Natural Resources,762690,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOACARBON,Goa Carbon,14687,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOCLCORP,GOCL Corporation,3963,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOCOLORS,Go Colors,6964,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GODAVARIB,Godavari Biorefineries,25941,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GODFRYPHLP,Godfrey Phillips,1181,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GODIGIT,Go Digit General Insurance,23799,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GODREJAGRO,Godrej Agrovet,144,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GODREJCP,Godrej Consumer Products,10099,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GODREJIND,Godrej Industries,10925,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GODREJPROP,Godrej Properties,17875,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOKEX,Gokaldas Exports,11778,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOKUL,Gokul Refoils & Solvent,16705,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOKULAGRO,Gokul Agro Resources,14480,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOLDENTOBC,Golden Tobacco,11619,NSE_EQ,EQUITY,ES,BZ,1,,ACTIVE
GOLDIAM,Goldiam International,11971,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOLDKART,Goldkart Jewels,13616,NSE_EQ,EQUITY,ES,SM,625,,ACTIVE
GOLDSTAR,Goldstar Power,3,NSE_EQ,EQUITY,ES,ST,11250,,ACTIVE
GOLDTECH,Aion Tech Solutions,9874,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOODLUCK,Goodluck India,6125,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOODYEAR,Goodyear,1205,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOPAL,Gopal Snacks,23066,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOYALALUM,Goyal Aluminiums,11787,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GOYALSALT,Goyal Salt,19356,NSE_EQ,EQUITY,ES,SM,600,,ACTIVE
GPECO,GP Eco Solutions,24108,NSE_EQ,EQUITY,ES,SM,200,,ACTIVE
GPIL,Godawari Power & Ispat,13409,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GPPL,Gujarat Pipavav Port,19731,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GPTHEALTH,GPT Healthcare,22846,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GPTINFRA,GPT Infraprojects,17685,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GRADIENTE,Gradiente Infotainment,763301,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
GRANDOAK,Grand Oak Canyons Distillery,762695,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GRANULES,Granules,11872,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GRAPHISAD,Graphisads,20454,NSE_EQ,EQUITY,ES,SM,1200,,ACTIVE
GRAPHITE,Graphite,592,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GRASIM,Grasim Industries,1232,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GRAUWEIL,Grauer & Weil,5200,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GRAVISSHO,Graviss Hospitality,762700,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GRAVITA,Gravita India,20534,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GRCL,Gayatri Rubbers & Chemicals,14055,NSE_EQ,EQUITY,ES,ST,250,,ACTIVE
GREAVESCOT,Greaves Cotton,1235,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GREENCHEF,Greenchef Appliances,17092,NSE_EQ,EQUITY,ES,SM,800,,ACTIVE
GREENLAM,Greenlam Industries,6848,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GREENLEAF,Greenleaf Envirotech,759424,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
GREENPANEL,Greenpanel Industries,13810,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GREENPLY,Greenply Industries,3987,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GREENPOWER,Orient Green Power,20110,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GRETEX,Gretex Industries,18742,NSE_EQ,EQUITY,ES,ST,750,,ACTIVE
GRINDWELL,Grindwell Norton,13560,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GRINFRA,GR Infraprojects,5054,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
GRMOVER,GRM Overseas,10871,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
